Release_Month,Genre_cluster,Inflated_revenue,propensity_score,propensity_score_z
5.0,Short Film/Adventure,18444642.857142854,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,1219531155.7698417,298757211.4903924,0.9030777741069885
5.0,Psychological thriller/Mystery,3213.4256775002827,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,5205703.709678824,156237514.72589308,0.5163992288720185
5.0,Short Film/Adventure,630181.7919365722,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,43818675.41680783,298757211.4903924,0.9030777741069885
5.0,Psychological thriller/Mystery,1100707755.9246278,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,31446910.870552145,156237514.72589308,0.5163992288720185
5.0,Drama/Action,315464475.3899944,263206968.35396725,0.8066243251394595
7.0,Drama/Action,10369423.84080159,249375512.79737106,0.7690973921293199
7.0,Psychological thriller/Mystery,59531061.272538856,156237514.72589308,0.5163992288720185
5.0,Psychological thriller/Mystery,9899520.845606325,170068970.2824893,0.553926161882158
5.0,Indie/Black-and-white,601936.6461619905,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,85112019.24948978,154696610.02877593,0.5122185099948828
5.0,Indie/Black-and-white,15755.11863799283,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,739368.9398014572,120577944.93542427,0.4196491593495715
5.0,Parody/Black-and-white,5050122.411725549,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,8064272.522571402,121607070.7663069,0.4224413409790833
5.0,Drama/Action,427233576.6423357,263206968.35396725,0.8066243251394595
7.0,Drama/Action,19849440.19402372,249375512.79737106,0.7690973921293199
5.0,Indie/Black-and-white,737999.5652173914,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,608081.5696197306,120577944.93542427,0.4196491593495715
5.0,Parody/Black-and-white,22963650.972101636,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,46674525.66775016,121607070.7663069,0.4224413409790833
5.0,Action/Crime Thriller,184987290.57059476,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,10422675.342056073,156453823.6246165,0.5169861092273561
5.0,Indie/Black-and-white,357127239.39277923,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,19729550.56179775,120577944.93542427,0.4196491593495715
5.0,Parody/Black-and-white,227560188.96440518,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,54761767.74047163,121607070.7663069,0.4224413409790833
5.0,Romantic drama/Drama,24140186.947554193,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,20287108.352832984,144608762.08236957,0.48484857828001515
5.0,Period piece/World cinema,270063.7071995764,171698154.39062378,0.558346396805155
7.0,Period piece/World cinema,55727559.52823529,157866698.8340276,0.5208194637950155
5.0,Period piece/World cinema,296147416.8677018,171698154.39062378,0.558346396805155
7.0,Period piece/World cinema,1635229.0155839892,157866698.8340276,0.5208194637950155
5.0,Action/Crime Thriller,222538.14411214952,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,33882158.97448979,156453823.6246165,0.5169861092273561
5.0,Psychological thriller/Mystery,23728783.783783782,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,794918.2126265343,156237514.72589308,0.5163992288720185
5.0,Indie/Black-and-white,80695312.5,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,865111357.1987423,120577944.93542427,0.4196491593495715
5.0,Science Fiction/Comedy film,2432235.9624007936,131653377.88506746,0.4496985658389225
12.0,Science Fiction/Comedy film,35659642.85714285,151940587.42182297,0.5047409834740945
5.0,Indie/Black-and-white,46803281.25,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,1827496.9221230156,154696610.02877593,0.5122185099948828
5.0,Drama/Action,23299552.074021593,263206968.35396725,0.8066243251394595
7.0,Drama/Action,574654821.6566666,249375512.79737106,0.7690973921293199
5.0,Psychological thriller/Mystery,680493424.6047239,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,105659442.62745535,156237514.72589308,0.5163992288720185
5.0,Action/Crime Thriller,271545095.8577427,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,237774216.42557043,156453823.6246165,0.5169861092273561
5.0,Drama/Action,70921701.16403225,263206968.35396725,0.8066243251394595
7.0,Drama/Action,44885736.19631901,249375512.79737106,0.7690973921293199
5.0,Psychological thriller/Mystery,111928848.45399274,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,16565377.358490564,156237514.72589308,0.5163992288720185
5.0,Indie/Black-and-white,770752867.0677718,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,10917699.481865283,120577944.93542427,0.4196491593495715
5.0,Drama/Action,317158376.78138757,263206968.35396725,0.8066243251394595
7.0,Drama/Action,4774285.611815261,249375512.79737106,0.7690973921293199
5.0,Drama/Action,715547711.4763975,263206968.35396725,0.8066243251394595
7.0,Drama/Action,537762969.9421774,249375512.79737106,0.7690973921293199
5.0,Short Film/Adventure,261534746.45046192,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,200468674.99999997,298757211.4903924,0.9030777741069885
7.0,Parody/Black-and-white,32866334.06254562,121607070.7663069,0.4224413409790833
5.0,Parody/Black-and-white,55275464.26247519,135438526.3229031,0.4599682739892228
5.0,Comedy film/Comedy,14040572.016273389,192054034.83145228,0.6135751294963488
7.0,Comedy film/Comedy,35309997.5687916,178222579.2748561,0.5760481964862094
5.0,Science Fiction/Comedy film,141000042.47572812,131653377.88506746,0.4496985658389225
7.0,Science Fiction/Comedy film,354982777.6830488,117821922.32847127,0.41217163282878305
5.0,Indie/Black-and-white,140140324.52606878,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,79308826.54196633,154696610.02877593,0.5122185099948828
5.0,Period piece/World cinema,1307382.6780487804,171698154.39062378,0.558346396805155
7.0,Period piece/World cinema,21654057.50769872,157866698.8340276,0.5208194637950155
5.0,Period piece/World cinema,162645917.32567844,171698154.39062378,0.558346396805155
7.0,Period piece/World cinema,424274993.09852064,157866698.8340276,0.5208194637950155
5.0,Drama/Action,37713273.195876285,263206968.35396725,0.8066243251394595
7.0,Drama/Action,54394024.69041133,249375512.79737106,0.7690973921293199
5.0,Romantic drama/Drama,31305384.75875606,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,2708140.159040165,144608762.08236957,0.48484857828001515
5.0,Drama/Action,7075972.626959845,263206968.35396725,0.8066243251394595
7.0,Drama/Action,8252671.292294568,249375512.79737106,0.7690973921293199
5.0,Indie/Black-and-white,2022338.8958580508,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,6591328.828828829,120577944.93542427,0.4196491593495715
5.0,Action/Crime Thriller,280042477.68480974,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,79982218.30095091,156453823.6246165,0.5169861092273561
5.0,Romantic drama/Drama,45669041.60823529,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,55502688.480571724,144608762.08236957,0.48484857828001515
5.0,Romantic drama/Drama,5439899.560564304,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,413657134.06734693,144608762.08236957,0.48484857828001515
5.0,Short Film/Adventure,1425068352.157173,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,80621212.12121211,298757211.4903924,0.9030777741069885
5.0,Drama/Action,48109685.01814243,263206968.35396725,0.8066243251394595
7.0,Drama/Action,32069375.515009556,249375512.79737106,0.7690973921293199
5.0,Drama/Action,55183421.05025906,263206968.35396725,0.8066243251394595
7.0,Drama/Action,38197941.76706827,249375512.79737106,0.7690973921293199
5.0,Parody/Black-and-white,375198964.7129443,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,141519803.43834952,121607070.7663069,0.4224413409790833
5.0,Action/Crime Thriller,54662571.83908046,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,292065180.2071437,156453823.6246165,0.5169861092273561
5.0,Psychological thriller/Mystery,65276208.178438656,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,12882808.50291558,156237514.72589308,0.5163992288720185
5.0,Indie/Black-and-white,312958815.78947365,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,24226407.28476821,120577944.93542427,0.4196491593495715
7.0,History/Indie,533527.2426524524,61543816.91346504,0.2594802054367234
5.0,History/Indie,12164679.346927803,75375272.47006123,0.2970071384468629
5.0,Indie/Black-and-white,23969800.100393396,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,21518750.0,120577944.93542427,0.4196491593495715
5.0,Action/Crime Thriller,22758888.220588233,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,417513412.62551814,156453823.6246165,0.5169861092273561
5.0,Psychological thriller/Mystery,280443.36489743023,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,119140320.71843916,156237514.72589308,0.5163992288720185
5.0,Science Fiction/Comedy film,12011958.955223879,131653377.88506746,0.4496985658389225
7.0,Science Fiction/Comedy film,217713242.21433723,117821922.32847127,0.41217163282878305
5.0,Short Film/Adventure,1214843.2227300613,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,331632964.2645962,298757211.4903924,0.9030777741069885
5.0,Drama/Action,1358120655.8858624,263206968.35396725,0.8066243251394595
7.0,Drama/Action,170762465.20524544,249375512.79737106,0.7690973921293199
5.0,Science Fiction/Comedy film,922304422.2831103,131653377.88506746,0.4496985658389225
7.0,Science Fiction/Comedy film,120732260.7260726,117821922.32847127,0.41217163282878305
5.0,Romantic drama/Drama,133757765.22058822,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,97824394.67025492,144608762.08236957,0.48484857828001515
5.0,Indie/Black-and-white,24261527.638209812,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,116651062.67119357,154696610.02877593,0.5122185099948828
5.0,Drama/Action,270888809.6911765,263206968.35396725,0.8066243251394595
7.0,Drama/Action,1107955254.8355467,249375512.79737106,0.7690973921293199
5.0,Period piece/World cinema,335536252.32984656,171698154.39062378,0.558346396805155
7.0,Period piece/World cinema,120132116.60377356,157866698.8340276,0.5208194637950155
5.0,Romantic drama/Drama,39348571.428571425,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,108553329.31919003,144608762.08236957,0.48484857828001515
5.0,Action/Crime Thriller,76330427.17948717,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,188128889.0490121,156453823.6246165,0.5169861092273561
5.0,Short Film/Adventure,800478710.8627328,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,128462636.3696739,298757211.4903924,0.9030777741069885
5.0,Short Film/Adventure,84020955.29756783,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,203891925.26723975,298757211.4903924,0.9030777741069885
5.0,Indie/Black-and-white,8288696.742138979,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,4215434.4303260865,120577944.93542427,0.4196491593495715
5.0,Romantic drama/Drama,26032471.21979257,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,307341458.14862484,144608762.08236957,0.48484857828001515
5.0,Parody/Black-and-white,1000245.5583177569,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,487823.3310559006,121607070.7663069,0.4224413409790833
5.0,Drama/Action,5190223.07395073,263206968.35396725,0.8066243251394595
7.0,Drama/Action,1116995257.9366739,249375512.79737106,0.7690973921293199
5.0,Short Film/Adventure,11939914.631398808,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,35322399.04786488,298757211.4903924,0.9030777741069885
5.0,Short Film/Adventure,48482003.01204819,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,1274659648.466162,298757211.4903924,0.9030777741069885
5.0,Drama/Action,853710184.468738,263206968.35396725,0.8066243251394595
7.0,Drama/Action,43108931.5352697,249375512.79737106,0.7690973921293199
5.0,Short Film/Adventure,547530373.3960596,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,43133232.3257861,298757211.4903924,0.9030777741069885
5.0,Psychological thriller/Mystery,10614270.88335973,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,56742430.61292457,156237514.72589308,0.5163992288720185
5.0,Short Film/Adventure,35988235.728722736,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,850653.2446081155,298757211.4903924,0.9030777741069885
5.0,Drama/Action,1969253.219422572,263206968.35396725,0.8066243251394595
7.0,Drama/Action,115283101.15289296,249375512.79737106,0.7690973921293199
5.0,Parody/Black-and-white,33403925.330396477,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,472496376.7828397,121607070.7663069,0.4224413409790833
5.0,Psychological thriller/Mystery,5508038.035386381,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,11573178.70811084,156237514.72589308,0.5163992288720185
5.0,Drama/Action,843218844.9301747,263206968.35396725,0.8066243251394595
7.0,Drama/Action,106904685.12801555,249375512.79737106,0.7690973921293199
5.0,Science Fiction/Comedy film,46200816.266602926,131653377.88506746,0.4496985658389225
7.0,Science Fiction/Comedy film,92474628.25278811,117821922.32847127,0.41217163282878305
5.0,Drama/Action,36631265.33202099,263206968.35396725,0.8066243251394595
7.0,Drama/Action,512055995.12111676,249375512.79737106,0.7690973921293199
5.0,Parody/Black-and-white,67680695.08513062,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,83011402.68824823,121607070.7663069,0.4224413409790833
5.0,Indie/Black-and-white,95638888.88888887,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,2008927.018437863,120577944.93542427,0.4196491593495715
5.0,Indie/Black-and-white,13889246.353319634,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,427615.0593167702,154696610.02877593,0.5122185099948828
5.0,Psychological thriller/Mystery,304296688.02579767,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,117423302.46913579,156237514.72589308,0.5163992288720185
5.0,Drama/Action,23477919.776119404,263206968.35396725,0.8066243251394595
7.0,Drama/Action,35357946.09665427,249375512.79737106,0.7690973921293199
5.0,Action/Crime Thriller,84268351.20336297,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,232258296.72877866,156453823.6246165,0.5169861092273561
5.0,Drama/Action,82628337.23404256,263206968.35396725,0.8066243251394595
7.0,Drama/Action,495370238.9346902,249375512.79737106,0.7690973921293199
5.0,History/Indie,366992.91944979184,75375272.47006123,0.2970071384468629
7.0,History/Indie,42636315.684774,61543816.91346504,0.2594802054367234
5.0,Short Film/Adventure,1127697721.1568809,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,57757328.869455375,298757211.4903924,0.9030777741069885
5.0,Science Fiction/Comedy film,20155303.030303027,131653377.88506746,0.4496985658389225
12.0,Science Fiction/Comedy film,17315785.46820388,151940587.42182297,0.5047409834740945
5.0,Romantic drama/Drama,77026998.95291159,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,72835661.43497756,144608762.08236957,0.48484857828001515
5.0,Indie/Black-and-white,25593887.307038832,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,139669124.73133802,120577944.93542427,0.4196491593495715
7.0,Action/Crime Thriller,217109078.80588233,156453823.6246165,0.5169861092273561
5.0,Action/Crime Thriller,215314.60565175916,170285279.1812127,0.5545130422374955
5.0,Short Film/Adventure,168887.21801242235,312588667.0469886,0.9406047071171281
7.0,Short Film/Adventure,40682391.385204084,298757211.4903924,0.9030777741069885
5.0,Parody/Black-and-white,124658877.74591078,135438526.3229031,0.4599682739892228
7.0,Parody/Black-and-white,12617003.404601226,121607070.7663069,0.4224413409790833
5.0,Romantic drama/Drama,2034754.2450806,158440217.63896576,0.5223755112901546
7.0,Romantic drama/Drama,31278915.41480836,144608762.08236957,0.48484857828001515
5.0,Action/Crime Thriller,193809161.62601444,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,294446845.71478593,156453823.6246165,0.5169861092273561
5.0,History/Indie,72229615.85359623,75375272.47006123,0.2970071384468629
7.0,History/Indie,13421.093664012911,61543816.91346504,0.2594802054367234
5.0,Psychological thriller/Mystery,26949325.842683528,170068970.2824893,0.553926161882158
7.0,Psychological thriller/Mystery,13648479.456598274,156237514.72589308,0.5163992288720185
5.0,Indie/Black-and-white,6347463.756236634,134409400.49202046,0.45717609235971096
12.0,Indie/Black-and-white,215280389.6963471,154696610.02877593,0.5122185099948828
5.0,Action/Crime Thriller,22346637.298091043,170285279.1812127,0.5545130422374955
7.0,Action/Crime Thriller,169581.26149068322,156453823.6246165,0.5169861092273561
5.0,Indie/Black-and-white,818827461.1398964,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,130510.20558028518,120577944.93542427,0.4196491593495715
5.0,Indie/Black-and-white,1902494.53660667,134409400.49202046,0.45717609235971096
7.0,Indie/Black-and-white,2384645.809627329,120577944.93542427,0.4196491593495715
5.0,Drama/Action,100771193.61936194,263206968.35396725,0.8066243251394595
7.0,Drama/Action,98540471.57476766,249375512.79737106,0.7690973921293199
5.0,Drama/Action,12512344.701475767,263206968.35396725,0.8066243251394595
7.0,Drama/Action,449375384.65377295,249375512.79737106,0.7690973921293199
5.0,History/Indie,36146005.99570267,75375272.47006123,0.2970071384468629
7.0,History/Indie,230850.41022413474,61543816.91346504,0.2594802054367234
5.0,Drama/Action,386014206.25234103,263206968.35396725,0.8066243251394595
7.0,Drama/Action,322917172.30921054,249375512.79737106,0.7690973921293199
5.0,Drama/Action,91459964.40697818,263206968.35396725,0.8066243251394595
7.0,Drama/Action,117722904.49284928,249375512.79737106,0.7690973921293199
5.0,Drama/Action,128633949.32882352,263206968.35396725,0.8066243251394595
7.0,Drama/Action,429090994.2586078,249375512.79737106,0.7690973921293199
